main_title,studio_company_name,type,total_episodes,date_first_episode_aired,date_last_episode_aired,premiered,source,duration,pg_rating
Konosuba,Silver Link,ONA,6.0,2022-07-10,2022-09-05,Autumn,今日意図溝アクセルペダル。,54,PG-13
Overlord,Sunrise,OVA,23.0,2017-02-04,2017-12-22,Winter,普通の溝障害。,25,PG
Demon Slayer,Kadokawa,OVA,59.0,2020-04-30,2020-09-01,Spring,追放するささやき。,59,PG-13
Cowboy Bebop,Pony Canyon,TV,,2020-06-28,,Spring,狭い発生する特徴。,36,R
Mob Psycho 100,Silver Link,ONA,,2021-11-24,,Winter,狐試してみる装置。,45,R
Jujutsu Kaisen,Sunrise,OVA,,2015-12-06,,Winter,保持する狐あった教授。,60,R
Re:Zero,Amazon Prime Video,TV,1.0,2024-08-02,2025-03-07,Summer,敵職人埋め込むコミュニケーション。,18,N-17
No Game No Life,NHK,TV,96.0,2018-05-13,2019-01-04,Spring,画面主人。,22,G
Parasyte,Media Factory,TV,,2024-06-21,,Summer,ヒール脊椎。,56,N-17
Horimiya,Amazon Prime Video,OVA,,2020-07-31,,Autumn,画面ヘア。,22,PG
Nisekoi,Sunrise,TV,100.0,2018-06-04,2019-01-12,Spring,ささやきシェービング。,60,N-17
Dr. Stone,Lerche,ONA,34.0,2018-09-30,2019-01-21,Winter,尊敬する敵対的な葉。,46,R
Hinamatsuri,Toho Animation,ONA,61.0,2018-07-09,2018-11-12,Summer,中央腐った。,12,N-17
Berserk,Yomiuri Telecasting,Movie,1.0,2020-06-02,,Spring,織るキャビンリニア。,125,G
Erased,Pony Canyon,TV,17.0,2019-07-15,2020-06-23,Summer,犯罪者はホイール。,25,PG-13
Fate/Stay Night,HIDIVE,ONA,,2019-09-10,,Summer,主婦私。,56,R
Goblin Slayer,Lerche,TV,39.0,2023-08-20,2023-11-27,Spring,器官。,34,N-17
Code Geass,TV Tokyo,TV,74.0,2022-04-01,2022-09-16,Autumn,不自然な欠乏柔らかい。,49,N-17
Haikyuu!!,Disney+,OVA,,2017-01-19,,Autumn,午前状況ささやき本質的な。,16,R
Dororo,Sunrise,ONA,99.0,2024-01-15,2024-08-31,Winter,知覚軸。,18,N-17
Durarara!!,Sentai Filmworks,Movie,1.0,2015-07-18,,Autumn,探査探査転倒。,177,G
Anohana,Bandai Visual,TV,,2018-04-03,,Winter,電池デッド反射。,16,R
Blue Exorcist,Toho Animation,Movie,1.0,2020-07-12,,Spring,供給反射。,152,PG-13
Steins;Gate,Studio Pierrot,TV,20.0,2017-02-22,2017-10-16,Winter,拡張脊椎今厳しい。,36,R
Chainsaw Man,Toho Animation,ONA,52.0,2022-12-03,2023-09-15,Winter,パンマリン。,51,PG
Attack on Titan,Sunrise,TV,,2022-03-11,,Spring,トレーナー脊椎行進。,41,N-17
Bleach,Studio Pierrot,ONA,,2018-04-17,,Spring,デッド敵対的な移動血まみれの。,50,N-17
Naruto,Sentai Filmworks,OVA,,2022-04-16,,Summer,細かいリフト。,47,G
The Disastrous Life of Saiki K.,NHK,OVA,,2023-10-07,,Winter,助けて符号教授チーズ。,41,G
Made in Abyss,Kadokawa,TV,92.0,2018-04-07,2018-06-28,Winter,トレーナーキャビン催眠術。,29,G
Hunter x Hunter,Pony Canyon,Movie,1.0,2015-10-17,,Summer,索引立派な月。,125,N-17
Gintama,Sentai Filmworks,TV,28.0,2015-10-29,2016-02-11,Autumn,脊椎ソースタワーノート。,12,R
Golden Kamuy,Shochiku,OVA,2.0,2020-04-08,2020-07-15,Winter,狭いチーズ。,38,PG-13
That Time I Got Reincarnated as a Slime,Pony Canyon,Movie,1.0,2024-03-02,,Summer,建築改善トーン。,135,R
Sword Art Online Alternative: Gun Gale Online,Bones,ONA,,2023-08-02,,Autumn,見落とすメニュー状況。,19,G
Oregairu,Studio Pierrot,ONA,,2019-10-22,,Autumn,コミュニケーション陶器。,55,PG
My Hero Academia,Studio Pierrot,TV,76.0,2024-02-02,2024-10-06,Spring,ブランチコミュニケーション。,56,PG-13
Promised Neverland,Yomiuri Telecasting,TV,,2023-10-04,,Winter,敵不自然な。,41,PG
Megalobox,Production I.G,ONA,,2024-03-24,,Winter,リンク織る品質。,18,N-17
Darling in the Franxx,Amazon Prime Video,ONA,,2017-08-12,,Autumn,供給立派な。,41,N-17
Death Note,Amazon Prime Video,Movie,1.0,2022-01-06,,Autumn,血まみれの文言。,131,PG-13
JoJo's Bizarre Adventure,White Fox,OVA,,2023-11-08,,Spring,職人コピー。,32,PG
Mushoku Tensei,Yomiuri Telecasting,OVA,97.0,2016-03-06,2016-07-14,Spring,オークション品質。,54,PG
Vinland Saga,NHK,ONA,13.0,2015-11-05,2016-10-15,Winter,午前中世。,35,PG
Shokugeki no Soma,White Fox,Movie,1.0,2016-09-16,,Autumn,保証金欠乏電話。,171,G
Yuri!!! on Ice,Disney+,Movie,1.0,2016-07-14,,Winter,バナー中央。,109,N-17
Bungo Stray Dogs,Lerche,OVA,3.0,2022-03-20,2022-12-27,Winter,ボトルシュガーささやき。,56,PG
K-On!,Kadokawa,ONA,,2019-10-07,,Autumn,ないアクセルペダル。,25,N-17
Fruits Basket,Disney+,TV,,2022-03-15,,Spring,転倒ダッシュ奨励します。,44,N-17
Black Butler,Shochiku,OVA,,2017-12-21,,Autumn,クロス。,12,R
